kpoint_simu	kpoint_data	centbin	<Ncoll>	<Ncoll> err1	<Ncoll> err2	<Ncoll> err	
std
0.00 to 80.00	0.00 to 110.00	100.00% to 70.00%:	8.13	15.83%	0.00%	15.83%

80.00 to 160.00	110.00 to 220.00	70.00% to 60.00%:	41.29	20.07%	0.00%	20.07%

160.00 to 290.00	220.00 to 390.00	60.00% to 50.00%:	87.45	14.46%	0.00%	14.46%

290.00 to 520.00	390.00 to 650.00	50.00% to 40.00%:	175.46	11.83%	0.00%	11.83%

520.00 to 860.00	650.00 to 1010.00	40.00% to 30.00%:	327.39	11.22%	0.00%	11.22%

860.00 to 1360.00	1010.00 to 1500.00	30.00% to 20.00%:	564.72	9.60%	0.00%	9.60%

1360.00 to 2100.00	1500.00 to 2200.00	20.00% to 10.00%:	929.66	9.23%	0.00%	9.23%

2100.00 to 3700.00	2200.00 to 4990.00	10.00% to 0.00%:	1505.29	9.26%	0.00%	9.26%

kpoint_simu	kpoint_data	centbin	<Npart>	<Npart> err1	<Npart> err2	<Npart> err	
0.00 to 80.00	0.00 to 110.00	100.00% to 70.00%:	8.88	11.07%	0.00%	11.07%

80.00 to 160.00	110.00 to 220.00	70.00% to 60.00%:	32.28	12.93%	0.00%	12.93%

160.00 to 290.00	220.00 to 390.00	60.00% to 50.00%:	54.46	7.55%	0.00%	7.55%

290.00 to 520.00	390.00 to 650.00	50.00% to 40.00%:	86.61	4.33%	0.00%	4.33%

520.00 to 860.00	650.00 to 1010.00	40.00% to 30.00%:	130.88	3.49%	0.00%	3.49%

860.00 to 1360.00	1010.00 to 1500.00	30.00% to 20.00%:	187.75	2.04%	0.00%	2.04%

1360.00 to 2100.00	1500.00 to 2200.00	20.00% to 10.00%:	261.85	1.50%	0.00%	1.50%

2100.00 to 3700.00	2200.00 to 4990.00	10.00% to 0.00%:	356.38	1.00%	0.00%	1.00%

