kpoint_simu	kpoint_data	centbin	<Ncoll>	<Ncoll> err1	<Ncoll> err2	<Ncoll> err	
std
0.00 to 40.00	0.00 to 110.00	100.00% to 70.00%:	7.45	29.35%	15.61%	33.24%

40.00 to 100.00	110.00 to 220.00	70.00% to 60.00%:	39.24	20.67%	5.99%	21.52%

100.00 to 210.00	220.00 to 390.00	60.00% to 50.00%:	88.51	14.72%	3.20%	15.07%

210.00 to 400.00	390.00 to 650.00	50.00% to 40.00%:	175.91	11.43%	0.42%	11.44%

400.00 to 720.00	650.00 to 1010.00	40.00% to 30.00%:	324.05	9.72%	0.42%	9.73%

720.00 to 1220.00	1010.00 to 1500.00	30.00% to 20.00%:	563.26	9.36%	0.25%	9.36%

1220.00 to 1980.00	1500.00 to 2200.00	20.00% to 10.00%:	929.74	9.39%	0.18%	9.39%

1980.00 to 3760.00	2200.00 to 4990.00	10.00% to 0.00%:	1505.87	9.07%	0.13%	9.07%

kpoint_simu	kpoint_data	centbin	<Npart>	<Npart> err1	<Npart> err2	<Npart> err	
0.00 to 40.00	0.00 to 110.00	100.00% to 70.00%:	8.45	20.31%	11.22%	23.20%

40.00 to 100.00	110.00 to 220.00	70.00% to 60.00%:	31.38	11.90%	4.60%	12.76%

100.00 to 210.00	220.00 to 390.00	60.00% to 50.00%:	55.10	6.89%	2.13%	7.22%

210.00 to 400.00	390.00 to 650.00	50.00% to 40.00%:	86.95	3.98%	0.32%	3.99%

400.00 to 720.00	650.00 to 1010.00	40.00% to 30.00%:	130.04	2.45%	0.29%	2.47%

720.00 to 1220.00	1010.00 to 1500.00	30.00% to 20.00%:	187.37	1.79%	0.17%	1.79%

1220.00 to 1980.00	1500.00 to 2200.00	20.00% to 10.00%:	261.66	1.58%	0.12%	1.58%

1980.00 to 3760.00	2200.00 to 4990.00	10.00% to 0.00%:	355.95	0.90%	0.08%	0.90%

