             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
            623591 productio pro2_299     xuq7 CG   15:26:15      1 vmp732
            622943 productio pro4_294     xuq7 CG   17:50:55      1 vmp619
            622945 productio pro4_296     xuq7 CG   17:50:58      1 vmp717
            622946 productio pro4_297     xuq7 CG   17:51:07      1 vmp718
            622848 productio pro4_199     xuq7 CG   18:14:42      1 vmp1079
            622846 productio pro4_197     xuq7 CG   18:15:12      1 vmp1079
            622847 productio pro4_198     xuq7 CG   18:15:13      1 vmp1079
            618029 productio pro3_145     xuq7 CG   20:06:39      1 vmp1079
            618661 productio bl_448a8 uscms442 CG 2-00:00:05      1 vmp565
            618517 productio bl_058ee uscms442 CG 2-00:00:06      1 vmp734
            613638 productio pro1_185     xuq7 CG    2:00:12      1 vmp684
            613676 productio pro1_185     xuq7 CG    2:00:12      1 vmp571
            613677 productio pro1_185     xuq7 CG    2:00:12      1 vmp571
            613615 productio pro1_185     xuq7 CG    2:00:18      1 vmp1035
            613616 productio pro1_185     xuq7 CG    2:00:18      1 vmp1035
            613617 productio pro1_185     xuq7 CG    2:00:18      1 vmp1035
            613618 productio pro1_185     xuq7 CG    2:00:18      1 vmp1035
            579412 productio bl_71650     glow PD       0:00      1 (AssocGrpCpuLimit)
            579413 productio bl_800e1     glow PD       0:00      1 (AssocGrpCpuLimit)
            579554 productio bl_80921     glow PD       0:00      1 (AssocGrpCpuLimit)
            579599 productio bl_0c8c3     glow PD       0:00      1 (AssocGrpCpuLimit)
            579710 productio bl_e90b2     glow PD       0:00      1 (AssocGrpCpuLimit)
            579777 productio bl_e9a4f     glow PD       0:00      1 (AssocGrpCpuLimit)
            579800 productio bl_ac546     glow PD       0:00      1 (AssocGrpCpuLimit)
            579804 productio bl_8bee2     glow PD       0:00      1 (AssocGrpCpuLimit)
            579805 productio bl_bb345     glow PD       0:00      1 (AssocGrpCpuLimit)
            579806 productio bl_6c025     glow PD       0:00      1 (AssocGrpCpuLimit)
