(13393.3,274.436i)	(13150,99.6629i)	(13204.7,96.0868i)	(13402.6,-65.9382i)	(13628.3,-321.127i)	
(13325.2,273.943i)	(13081.6,99.0364i)	(13136.5,96.1948i)	(13334.5,-65.5185i)	(13560.7,-320.86i)	
(13256.9,273.446i)	(13013.1,98.4067i)	(13068.2,96.303i)	(13266.3,-65.0969i)	(13493,-320.59i)	
(13188.5,272.946i)	(12944.4,97.774i)	(12999.8,96.4112i)	(13197.9,-64.6735i)	(13425.2,-320.318i)	
(13120,272.444i)	(12875.6,97.1381i)	(12931.2,96.5194i)	(13129.4,-64.2483i)	(13357.2,-320.044i)	
(13051.3,271.938i)	(12806.6,96.4992i)	(12862.4,96.6277i)	(13060.7,-63.8213i)	(13289,-319.768i)	
(12982.5,271.43i)	(12737.5,95.857i)	(12793.6,96.736i)	(12991.9,-63.3924i)	(13220.7,-319.49i)	
(12913.5,270.918i)	(12668.3,95.2117i)	(12724.6,96.8444i)	(12923,-62.9616i)	(13152.3,-319.209i)	
(12844.4,270.404i)	(12598.9,94.5633i)	(12655.4,96.9529i)	(12853.9,-62.529i)	(13083.8,-318.926i)	
(12775.2,269.886i)	(12529.4,93.9117i)	(12586.1,97.0614i)	(12784.7,-62.0946i)	(13015.1,-318.641i)	
(12705.8,269.365i)	(12459.7,93.2568i)	(12516.7,97.1699i)	(12715.4,-61.6583i)	(12946.2,-318.354i)	
(12636.3,268.842i)	(12389.9,92.5988i)	(12447.1,97.2785i)	(12645.9,-61.2202i)	(12877.3,-318.064i)	
(12566.7,268.315i)	(12320,91.9376i)	(12377.4,97.3871i)	(12576.2,-60.7802i)	(12808.2,-317.772i)	
(12496.9,267.785i)	(12249.9,91.2731i)	(12307.6,97.4957i)	(12506.4,-60.3383i)	(12738.9,-317.478i)	
(12426.9,267.252i)	(12179.7,90.6054i)	(12237.6,97.6044i)	(12436.5,-59.8946i)	(12669.5,-317.181i)	
(12356.8,266.716i)	(12109.3,89.9345i)	(12167.5,97.7131i)	(12366.5,-59.4489i)	(12600,-316.882i)	
(12286.6,266.177i)	(12038.8,89.2603i)	(12097.2,97.8219i)	(12296.3,-59.0014i)	(12530.3,-316.581i)	
(12216.3,265.635i)	(11968.2,88.5828i)	(12026.8,97.9307i)	(12225.9,-58.5521i)	(12460.5,-316.278i)	
(12145.8,265.089i)	(11897.4,87.902i)	(11956.3,98.0395i)	(12155.4,-58.1008i)	(12390.6,-315.972i)	
