ymin   ymax   ptlow   pthi   xs   xserr_low    xserr_high   uncor_error   npcor   npcorerr   lumierr   unf_err_low   unf_err_hi    jec_src_low_0  jec_src_high_0  jec_src_low_1  jec_src_high_1  jec_src_low_2  jec_src_high_2  jec_src_low_3  jec_src_high_3  jec_src_low_4  jec_src_high_4  jec_src_low_5  jec_src_high_5  jec_src_low_6  jec_src_high_6  jec_src_low_7  jec_src_high_7  jec_src_low_8  jec_src_high_8  jec_src_low_9  jec_src_high_9  jec_src_low_10  jec_src_high_10  jec_src_low_11  jec_src_high_11  jec_src_low_12  jec_src_high_12  jec_src_low_13  jec_src_high_13  jec_src_low_14  jec_src_high_14  jec_src_low_15  jec_src_high_15
0.0 0.5 56 64 1.328e+05 0.007 0.007 0.010 1.288 0.054 0.022 0.024 0.026 0.025 0.026 0.014 0.014 -0.015 -0.015 0.034 0.035 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 0.004 0.004 0.014 0.014 0.056 0.059 -0.021 -0.021 0.032 0.033
0.0 0.5 64 74 6.532e+04 0.010 0.010 0.010 1.241 0.043 0.022 0.020 0.022 0.025 0.026 0.010 0.010 -0.012 -0.012 0.032 0.033 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 0.003 0.003 0.012 0.012 0.049 0.052 -0.018 -0.017 0.029 0.030
0.0 0.5 74 84 3.214e+04 0.014 0.014 0.010 1.198 0.034 0.022 0.017 0.019 0.025 0.026 0.009 0.009 -0.009 -0.009 0.030 0.031 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 0.003 0.003 0.011 0.011 0.043 0.045 -0.015 -0.015 0.027 0.028
0.0 0.5 84 97 1.549e+04 0.017 0.017 0.010 1.163 0.026 0.022 0.015 0.016 0.026 0.026 0.009 0.010 -0.006 -0.006 0.028 0.029 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 0.002 0.002 0.009 0.010 0.038 0.040 -0.013 -0.013 0.025 0.026
0.0 0.5 97 114 6.924e+03 0.006 0.006 0.010 1.132 0.020 0.022 0.013 0.014 0.026 0.027 0.011 0.011 -0.003 -0.003 0.026 0.027 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 0.002 0.002 0.008 0.008 0.033 0.034 -0.012 -0.012 0.023 0.023
0.0 0.5 114 133 2.951e+03 0.008 0.008 0.010 1.108 0.015 0.022 0.011 0.012 0.026 0.027 0.014 0.014 -0.000 0.000 0.024 0.025 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 0.002 0.002 0.007 0.007 0.029 0.030 -0.010 -0.010 0.021 0.021
0.0 0.5 133 153 1.335e+03 0.011 0.011 0.010 1.089 0.012 0.022 0.010 0.010 0.026 0.027 0.016 0.016 0.003 0.003 0.022 0.023 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 0.002 0.002 0.006 0.006 0.025 0.026 -0.009 -0.008 0.019 0.019
0.0 0.5 153 174 6.389e+02 0.015 0.015 0.010 1.076 0.009 0.022 0.008 0.009 0.027 0.028 0.018 0.018 0.005 0.005 0.020 0.021 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 0.001 0.001 0.005 0.005 0.022 0.023 -0.008 -0.007 0.018 0.018
0.0 0.5 174 196 3.111e+02 0.005 0.005 0.010 1.065 0.008 0.022 0.008 0.008 0.027 0.028 0.019 0.019 0.007 0.007 0.019 0.019 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 0.001 0.001 0.005 0.005 0.020 0.020 -0.007 -0.007 0.016 0.017
0.0 0.5 196 220 1.612e+02 0.007 0.007 0.010 1.057 0.006 0.022 0.007 0.008 0.028 0.028 0.019 0.020 0.009 0.009 0.018 0.018 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 0.001 0.001 0.005 0.005 0.018 0.018 -0.006 -0.006 0.015 0.016
